,FOOD NAME,GROUP
611,Black salsify,Vegetables
612,True seal,Aquatic foods
613,Red algae,Aquatic foods
614,Kombu,Aquatic foods
615,Snail,Aquatic foods
616,True sole,Aquatic foods
617,Catfish,Aquatic foods
618,Thistle,Vegetables
619,Thunnus (Common tuna),Aquatic foods
620,Walnut,Nuts
621,"Cetacea (Dolphin, Porpoise, Whale)",Aquatic foods
622,"Columbidae (Dove, Pigeon)",Animal foods
623,Conch,Aquatic foods
624,Grape wine,Beverages
625,Berry wine,Beverages
626,Other wine,Beverages
627,Apple cider,Beverages
628,Liquor,Beverages
629,Cheese,Milk and milk products
630,Milk (Cow),Milk and milk products
631,Eggs,Eggs
632,Yogurt,Milk and milk products
633,Bean,Pulses
634,Vodka,Beverages
635,Whisky,Beverages
636,Ice cream,Confectioneries
637,Gin,Beverages
638,Honey,Confectioneries
639,Liquorice,Confectioneries
640,Vinegar,Baking goods
641,Rum,Beverages
642,Port wine,Beverages
643,Vermouth,Beverages
644,Sherry,Beverages
645,Madeira wine,Beverages
646,Nougat,Confectioneries
647,Toffee,Confectioneries
648,Cake,Confectioneries
649,Pizza,Dishes
650,Ymer,Milk and milk products
651,Other snack food,Snack foods
652,Crisp bread,Cereals and cereal products
653,Pastry,Confectioneries
654,Dragée,Confectioneries
655,Chewing gum,Confectioneries
656,Marzipan,Confectioneries
657,Salad dressing,Baking goods
658,Sauce,Baking goods
659,Salt,Baking goods
660,Butter,Milk and milk products
661,Butter substitute,Baking goods
662,Cream,Milk and milk products
663,Sugar,Baking goods
664,Sausage,Dishes
665,Meatball,Dishes
666,Mustard,Baking goods
667,Pate,Dishes
668,Sugar substitute,Baking goods
669,Meat bouillon,Baking goods
670,Other meat product,Animal foods
671,Whey,Milk and milk products
672,Casein,Milk and milk products
673,Fruit preserve,Fruits
674,Leavening agent,Baking goods
675,Marshmallow,Confectioneries
676,Gelatin,Baking goods
677,Water,Beverages
678,Other fish product,Aquatic foods
679,Milk (Human),Milk and milk products
680,Other beverage,Beverages
681,Baby food,Baby foods
682,Dumpling,Dishes
683,Soup,Dishes
684,Other vegetable product,Vegetables
685,Unclassified food or beverage,Unclassified
686,Syrup,Baking goods
687,Tallow,Fats and oils
688,Remoulade,Baking goods
689,Chocolate spread,Confectioneries
690,Fruit gum,Confectioneries
691,Curry powder,Herbs and Spices
692,Other candy,Confectioneries
693,Meringue,Confectioneries
694,Lard,Fats and oils
695,Other animal fat,Fats and oils
696,Other cocoa product,Cocoa and cocoa products
697,Cocoa butter,Cocoa and cocoa products
698,Cocoa powder,Cocoa and cocoa products
699,Cocoa liquor,Cocoa and cocoa products
700,Chocolate,Cocoa and cocoa products
701,Hot chocolate,Cocoa and cocoa products
702,Dried milk,Milk and milk products
703,Milk (Other mammals),Milk and milk products
704,Kefir,Milk and milk products
705,Buttermilk,Milk and milk products
706,Other fermented milk,Milk and milk products
707,Soy sauce,Soy
708,Miso,Soy
709,Tofu,Soy
710,Zwieback,Cereals and cereal products
711,Roe,Aquatic foods
712,Cichlidae (Tilapia),Aquatic foods
713,Icing,Confectioneries
714,Snack bar,Snack foods
715,Green turtle,Aquatic foods
716,Energy drink,Beverages
717,Burrito,Dishes
718,Hamburger,Dishes
719,Baked beans,Dishes
720,Chili,Dishes
721,Taco,Dishes
722,Tortilla,Cereals and cereal products
723,Nachos,Dishes
724,Processed cheese,Milk and milk products
725,Salad,Dishes
